TABLE,FIELD,TYPE,NULL,KEY,DEFAULT,EXTRA
APT_BASE,FAR_139_TYPE_CODE,varchar(5),YES,,,
APT_BASE,FAR_139_CARRIER_SER_CODE,varchar(1),YES,,,
APT_BASE,ARFF_CERT_TYPE_DATE,varchar(7),YES,,,
APT_BASE,NASP_CODE,varchar(7),YES,,,
APT_BASE,ASP_ANLYS_DTRM_CODE,varchar(13),YES,,,
APT_BASE,CUST_FLAG,varchar(1),YES,,,
APT_BASE,LNDG_RIGHTS_FLAG,varchar(1),YES,,,
APT_BASE,JOINT_USE_FLAG,varchar(1),YES,,,
APT_BASE,MIL_LNDG_FLAG,varchar(1),YES,,,
APT_BASE,INSPECT_METHOD_CODE,varchar(1),YES,,,
APT_BASE,INSPECTOR_CODE,varchar(1),NO,,,
APT_BASE,LAST_INSPECTION,varchar(10),YES,,,
APT_BASE,LAST_INFO_RESPONSE,varchar(10),YES,,,
APT_BASE,FUEL_TYPES,varchar(40),YES,,,
APT_BASE,AIRFRAME_REPAIR_SER_CODE,varchar(5),YES,,,
APT_BASE,PWR_PLANT_REPAIR_SER,varchar(5),YES,,,
APT_BASE,BOTTLED_OXY_TYPE,varchar(8),YES,,,
APT_BASE,BULK_OXY_TYPE,varchar(8),YES,,,
APT_BASE,LGT_SKED,varchar(7),YES,,,
APT_BASE,BCN_LGT_SKED,varchar(7),YES,,,
APT_BASE,TWR_TYPE_CODE,varchar(12),NO,,,
APT_BASE,SEG_CIRCLE_MKR_FLAG,varchar(3),YES,,,
APT_BASE,BCN_LENS_COLOR,varchar(3),YES,,,
APT_BASE,LNDG_FEE_FLAG,varchar(1),YES,,,
APT_BASE,MEDICAL_USE_FLAG,varchar(1),YES,,,
APT_BASE,BASED_SINGLE_ENG,int(3),YES,,,
APT_BASE,BASED_MULTI_ENG,int(3),YES,,,
APT_BASE,BASED_JET_ENG,int(3),YES,,,
APT_BASE,BASED_HEL,int(3),YES,,,
APT_BASE,BASED_GLIDERS,int(3),YES,,,
APT_BASE,BASED_MIL_ACFT,int(3),YES,,,
APT_BASE,BASED_ULTRALGT_ACFT,int(3),YES,,,
APT_BASE,COMMERCIAL_OPS,int(6),YES,,,
APT_BASE,COMMUTER_OPS,int(6),YES,,,
APT_BASE,AIR_TAXI_OPS,int(6),YES,,,
APT_BASE,LOCAL_OPS,int(6),YES,,,
APT_BASE,ITNRNT_OPS,int(6),YES,,,
APT_BASE,MIL_ACFT_OPS,int(6),YES,,,
APT_BASE,ANNUAL_OPS_DATE,varchar(10),YES,,,
APT_BASE,ARPT_PSN_SOURCE,varchar(16),YES,,,
APT_BASE,POSITION_SRC_DATE,varchar(10),YES,,,
APT_BASE,ARPT_ELEV_SOURCE,varchar(16),YES,,,
APT_BASE,ELEVATION_SRC_DATE,varchar(10),YES,,,
APT_BASE,CONTR_FUEL_AVBL,varchar(1),YES,,,
APT_BASE,TRNS_STRG_BUOY_FLAG,varchar(1),YES,,,
APT_BASE,TRNS_STRG_HGR_FLAG,varchar(1),YES,,,
APT_BASE,TRNS_STRG_TIE_FLAG,varchar(1),YES,,,
APT_BASE,OTHER_SERVICES,varchar(110),YES,,,
APT_BASE,WIND_INDCR_FLAG,varchar(3),YES,,,
APT_BASE,ICAO_ID,varchar(7),YES,,,
APT_BASE,MIN_OP_NETWORK,varchar(1),NO,,,
APT_BASE,USER_FEE_FLAG,varchar(26),YES,,,
APT_BASE,CTA,varchar(4),YES,,,
APT_CON,EFF_DATE,varchar(10),NO,,,
APT_CON,SITE_NO,varchar(9),NO,,,
APT_CON,SITE_TYPE_CODE,varchar(1),NO,,,
APT_CON,STATE_CODE,varchar(2),YES,,,
APT_CON,ARPT_ID,varchar(4),NO,,,
APT_CON,CITY,varchar(40),NO,,,
APT_CON,COUNTRY_CODE,varchar(2),NO,,,
APT_CON,TITLE,varchar(10),NO,,,
APT_CON,NAME,varchar(35),YES,,,
APT_CON,ADDRESS1,varchar(35),YES,,,
APT_CON,ADDRESS2,varchar(35),YES,,,
APT_CON,TITLE_CITY,varchar(30),YES,,,
APT_CON,STATE,varchar(2),YES,,,
APT_CON,ZIP_CODE,varchar(5),YES,,,
APT_CON,ZIP_PLUS_FOUR,varchar(4),YES,,,
APT_CON,PHONE_NO,varchar(16),YES,,,
APT_RMK,EFF_DATE,varchar(10),NO,,,
APT_RMK,SITE_NO,varchar(9),NO,,,
APT_RMK,SITE_TYPE_CODE,varchar(1),NO,,,
APT_RMK,STATE_CODE,varchar(2),YES,,,
APT_RMK,ARPT_ID,varchar(4),NO,,,
APT_RMK,CITY,varchar(40),NO,,,
APT_RMK,COUNTRY_CODE,varchar(2),NO,,,
APT_RMK,LEGACY_ELEMENT_NUMBER,varchar(30),NO,,,
APT_RMK,TAB_NAME,varchar(30),NO,,,
APT_RMK,REF_COL_NAME,varchar(30),NO,,,
APT_RMK,ELEMENT,varchar(30),YES,,,
APT_RMK,REF_COL_SEQ_NO,int(3),NO,,,
APT_RMK,REMARK,varchar(1500),NO,,,
APT_RWY,EFF_DATE,varchar(10),NO,,,
APT_RWY,SITE_NO,varchar(9),NO,,,
APT_RWY,SITE_TYPE_CODE,varchar(1),NO,,,
APT_RWY,STATE_CODE,varchar(2),YES,,,
APT_RWY,ARPT_ID,varchar(4),NO,,,
APT_RWY,CITY,varchar(40),NO,,,
APT_RWY,COUNTRY_CODE,varchar(2),NO,,,
APT_RWY,RWY_ID,varchar(7),NO,,,
APT_RWY,RWY_LEN,int(5),NO,,,
APT_RWY,RWY_WIDTH,int(4),NO,,,
APT_RWY,SURFACE_TYPE_CODE,varchar(10),YES,,,
APT_RWY,COND,varchar(9),YES,,,
APT_RWY,TREATMENT_CODE,varchar(4),YES,,,
APT_RWY,PCN,int(3),YES,,,
APT_RWY,PAVEMENT_TYPE_CODE,varchar(1),YES,,,
APT_RWY,SUBGRADE_STRENGTH_CODE,varchar(1),YES,,,
APT_RWY,TIRE_PRES_CODE,varchar(1),YES,,,
APT_RWY,DTRM_METHOD_CODE,varchar(1),YES,,,
APT_RWY,RWY_LGT_CODE,varchar(4),YES,,,
APT_RWY,RWY_LEN_SOURCE,varchar(16),YES,,,
APT_RWY,LENGTH_SOURCE_DATE,varchar(10),YES,,,
APT_RWY,GROSS_WT_SW,decimal(5,1),YES,,,
APT_RWY,GROSS_WT_DW,decimal(5,1),YES,,,
APT_RWY,GROSS_WT_DTW,decimal(5,1),YES,,,
APT_RWY,GROSS_WT_DDTW,decimal(5,1),YES,,,
APT_RWY_END,EFF_DATE,varchar(10),NO,,,
APT_RWY_END,SITE_NO,varchar(9),NO,,,
APT_RWY_END,SITE_TYPE_CODE,varchar(1),NO,,,
APT_RWY_END,STATE_CODE,varchar(2),YES,,,
APT_RWY_END,ARPT_ID,varchar(4),NO,,,
APT_RWY_END,CITY,varchar(40),NO,,,
APT_RWY_END,COUNTRY_CODE,varchar(2),NO,,,
APT_RWY_END,RWY_ID,varchar(7),NO,,,
APT_RWY_END,RWY_END_ID,varchar(3),NO,,,
APT_RWY_END,TRUE_ALIGNMENT,int(3),YES,,,
APT_RWY_END,ILS_TYPE,varchar(10),YES,,,
APT_RWY_END,RIGHT_HAND_TRAFFIC_PAT_FLAG,varchar(1),YES,,,
APT_RWY_END,RWY_MARKING_TYPE_CODE,varchar(4),YES,,,
APT_RWY_END,RWY_MARKING_COND,varchar(4),YES,,,
APT_RWY_END,RWY_END_LAT_DEG,int(2),YES,,,
APT_RWY_END,RWY_END_LAT_MIN,int(2),YES,,,
APT_RWY_END,RWY_END_LAT_SEC,decimal(6,4),YES,,,
APT_RWY_END,RWY_END_LAT_HEMIS,varchar(1),YES,,,
APT_RWY_END,LAT_DECIMAL,decimal(10,8),YES,,,
APT_RWY_END,RWY_END_LONG_DEG,int(3),YES,,,
APT_RWY_END,RWY_END_LONG_MIN,int(2),YES,,,
APT_RWY_END,RWY_END_LONG_SEC,decimal(6,4),YES,,,
APT_RWY_END,RWY_END_LONG_HEMIS,varchar(1),YES,,,
APT_RWY_END,LONG_DECIMAL,decimal(11,8),YES,,,
APT_RWY_END,RWY_END_ELEV,decimal(6,1),YES,,,
APT_RWY_END,THR_CROSSING_HGT,int(3),YES,,,
APT_RWY_END,VISUAL_GLIDE_PATH_ANGLE,decimal(3,2),YES,,,
APT_RWY_END,DISPLACED_THR_LAT_DEG,int(2),YES,,,
APT_RWY_END,DISPLACED_THR_LAT_MIN,int(2),YES,,,
APT_RWY_END,DISPLACED_THR_LAT_SEC,decimal(6,4),YES,,,
APT_RWY_END,DISPLACED_THR_LAT_HEMIS,varchar(1),YES,,,
APT_RWY_END,LAT_DISPLACED_THR_DECIMAL,decimal(10,8),YES,,,
APT_RWY_END,DISPLACED_THR_LONG_DEG,int(3),YES,,,
APT_RWY_END,DISPLACED_THR_LONG_MIN,int(2),YES,,,
APT_RWY_END,DISPLACED_THR_LONG_SEC,decimal(6,4),YES,,,
APT_RWY_END,DISPLACED_THR_LONG_HEMIS,varchar(1),YES,,,
APT_RWY_END,LONG_DISPLACED_THR_DECIMAL,decimal(11,8),YES,,,
APT_RWY_END,DISPLACED_THR_ELEV,decimal(6,1),YES,,,
APT_RWY_END,DISPLACED_THR_LEN,int(4),YES,,,
APT_RWY_END,TDZ_ELEV,decimal(6,1),YES,,,
APT_RWY_END,VGSI_CODE,varchar(4),YES,,,
APT_RWY_END,RWY_VISUAL_RANGE_EQUIP_CODE,varchar(3),YES,,,
APT_RWY_END,RWY_VSBY_VALUE_EQUIP_FLAG,varchar(1),YES,,,
APT_RWY_END,APCH_LGT_SYSTEM_CODE,varchar(8),YES,,,
APT_RWY_END,RWY_END_LGTS_FLAG,varchar(1),YES,,,
APT_RWY_END,CNTRLN_LGTS_AVBL_FLAG,varchar(1),YES,,,
APT_RWY_END,TDZ_LGT_AVBL_FLAG,varchar(1),YES,,,
APT_RWY_END,OBSTN_TYPE,varchar(11),YES,,,
APT_RWY_END,OBSTN_MRKD_CODE,varchar(2),YES,,,
APT_RWY_END,FAR_PART_77_CODE,varchar(5),YES,,,
APT_RWY_END,OBSTN_CLNC_SLOPE,int(2),YES,,,
APT_RWY_END,OBSTN_HGT,int(5),YES,,,
APT_RWY_END,DIST_FROM_THR,int(5),YES,,,
APT_RWY_END,CNTRLN_OFFSET,int(4),YES,,,
APT_RWY_END,CNTRLN_DIR_CODE,varchar(3),YES,,,
APT_RWY_END,RWY_GRAD,decimal(4,3),YES,,,
APT_RWY_END,RWY_GRAD_DIRECTION,varchar(4),YES,,,
APT_RWY_END,RWY_END_PSN_SOURCE,varchar(16),YES,,,
APT_RWY_END,RWY_END_PSN_DATE,varchar(10),YES,,,
APT_RWY_END,RWY_END_ELEV_SOURCE,varchar(16),YES,,,
APT_RWY_END,RWY_END_ELEV_DATE,varchar(10),YES,,,
APT_RWY_END,DSPL_THR_PSN_SOURCE,varchar(16),YES,,,
APT_RWY_END,RWY_END_DSPL_THR_PSN_DATE,varchar(10),YES,,,
APT_RWY_END,DSPL_THR_ELEV_SOURCE,varchar(16),YES,,,
APT_RWY_END,RWY_END_DSPL_THR_ELEV_DATE,varchar(10),YES,,,
APT_RWY_END,TDZ_ELEV_SOURCE,varchar(16),YES,,,
APT_RWY_END,RWY_END_TDZ_ELEV_DATE,varchar(10),YES,,,
APT_RWY_END,TKOF_RUN_AVBL,int(5),YES,,,
APT_RWY_END,TKOF_DIST_AVBL,int(5),YES,,,
APT_RWY_END,ACLT_STOP_DIST_AVBL,int(5),YES,,,
APT_RWY_END,LNDG_DIST_AVBL,int(5),YES,,,
APT_RWY_END,LAHSO_ALD,int(5),YES,,,
APT_RWY_END,RWY_END_INTERSECT_LAHSO,varchar(7),YES,,,
APT_RWY_END,LAHSO_DESC,varchar(40),YES,,,
APT_RWY_END,LAHSO_LAT,varchar(14),YES,,,
APT_RWY_END,LAT_LAHSO_DECIMAL,decimal(10,8),YES,,,
APT_RWY_END,LAHSO_LONG,varchar(15),YES,,,
APT_RWY_END,LONG_LAHSO_DECIMAL,decimal(11,8),YES,,,
APT_RWY_END,LAHSO_PSN_SOURCE,varchar(16),YES,,,
APT_RWY_END,RWY_END_LAHSO_PSN_DATE,varchar(10),YES,,,
ARB_BASE,EFF_DATE,varchar(10),NO,,,
ARB_BASE,LOCATION_ID,varchar(4),NO,,,
ARB_BASE,LOCATION_NAME,varchar(30),YES,,,
ARB_BASE,COMPUTER_ID,varchar(3),NO,,,
ARB_BASE,ICAO_ID,varchar(7),YES,,,
ARB_BASE,LOCATION_TYPE,varchar(5),NO,,,
ARB_BASE,CITY,varchar(40),NO,,,
ARB_BASE,STATE,varchar(2),YES,,,
ARB_BASE,COUNTRY_CODE,varchar(2),NO,,,
ARB_BASE,LAT_DEG,int(2),NO,,,
ARB_BASE,LAT_MIN,int(2),NO,,,
ARB_BASE,LAT_SEC,decimal(6,4),NO,,,
ARB_BASE,LAT_HEMIS,varchar(1),NO,,,
ARB_BASE,LAT_DECIMAL,decimal(10,8),NO,,,
ARB_BASE,LONG_DEG,int(3),NO,,,
ARB_BASE,LONG_MIN,int(2),NO,,,
ARB_BASE,LONG_SEC,decimal(6,4),NO,,,
ARB_BASE,LONG_HEMIS,varchar(1),NO,,,
ARB_BASE,LONG_DECIMAL,decimal(11,8),NO,,,
ARB_BASE,CROSS_REF,varchar(50),YES,,,
ARB_SEG,EFF_DATE,varchar(10),NO,,,
ARB_SEG,REC_ID,varchar(14),NO,,,
ARB_SEG,LOCATION_ID,varchar(4),NO,,,
ARB_SEG,LOCATION_NAME,varchar(30),YES,,,
ARB_SEG,ALTITUDE,varchar(10),NO,,,
ARB_SEG,TYPE,varchar(10),NO,,,
ARB_SEG,POINT_SEQ,int(4),NO,,,
ARB_SEG,LAT_DEG,int(2),NO,,,
ARB_SEG,LAT_MIN,int(2),NO,,,
ARB_SEG,LAT_SEC,decimal(6,4),NO,,,
ARB_SEG,LAT_HEMIS,varchar(1),NO,,,
ARB_SEG,LAT_DECIMAL,decimal(10,8),NO,,,
ARB_SEG,LONG_DEG,int(3),NO,,,
ARB_SEG,LONG_MIN,int(2),NO,,,
ARB_SEG,LONG_SEC,decimal(6,4),NO,,,
ARB_SEG,LONG_HEMIS,varchar(1),NO,,,
ARB_SEG,LONG_DECIMAL,decimal(11,8),NO,,,
ARB_SEG,BNDRY_PT_DESCRIP,varchar(300),YES,,,
ARB_SEG,NAS_DESCRIP_FLAG,varchar(1),YES,,,
ATC_ATIS,EFF_DATE,varchar(10),NO,,,
ATC_ATIS,SITE_NO,varchar(9),NO,,,
ATC_ATIS,SITE_TYPE_CODE,varchar(1),NO,,,
ATC_ATIS,FACILITY_TYPE,varchar(12),NO,,,
ATC_ATIS,STATE_CODE,varchar(2),YES,,,
ATC_ATIS,FACILITY_ID,varchar(4),NO,,,
ATC_ATIS,CITY,varchar(40),NO,,,
ATC_ATIS,COUNTRY_CODE,varchar(2),NO,,,
ATC_ATIS,ATIS_NO,int(3),NO,,,
ATC_ATIS,DESCRIPTION,varchar(100),YES,,,
ATC_ATIS,ATIS_HRS,varchar(200),NO,,,
ATC_ATIS,ATIS_PHONE_NO,varchar(18),YES,,,
ATC_BASE,EFF_DATE,varchar(10),NO,,,
ATC_BASE,SITE_NO,varchar(9),YES,,,
ATC_BASE,SITE_TYPE_CODE,varchar(1),YES,,,
ATC_BASE,FACILITY_TYPE,varchar(12),NO,,,
ATC_BASE,STATE_CODE,varchar(2),YES,,,
ATC_BASE,FACILITY_ID,varchar(4),NO,,,
ATC_BASE,CITY,varchar(40),NO,,,
ATC_BASE,COUNTRY_CODE,varchar(2),NO,,,
ATC_BASE,ICAO_ID,varchar(7),YES,,,
ATC_BASE,FACILITY_NAME,varchar(50),NO,,,
ATC_BASE,REGION_CODE,varchar(3),YES,,,
ATC_BASE,TWR_OPERATOR_CODE,varchar(6),YES,,,
ATC_BASE,TWR_CALL,varchar(26),YES,,,
ATC_BASE,TWR_HRS,varchar(200),YES,,,
ATC_BASE,PRIMARY_APCH_RADIO_CALL,varchar(26),YES,,,
ATC_BASE,APCH_P_PROVIDER,varchar(700),YES,,,
ATC_BASE,APCH_P_PROV_TYPE_CD,varchar(1),YES,,,
ATC_BASE,SECONDARY_APCH_RADIO_CALL,varchar(26),YES,,,
ATC_BASE,APCH_S_PROVIDER,varchar(700),YES,,,
ATC_BASE,APCH_S_PROV_TYPE_CD,varchar(1),YES,,,
ATC_BASE,PRIMARY_DEP_RADIO_CALL,varchar(26),YES,,,
ATC_BASE,DEP_P_PROVIDER,varchar(700),YES,,,
ATC_BASE,DEP_P_PROV_TYPE_CD,varchar(1),YES,,,
ATC_BASE,SECONDARY_DEP_RADIO_CALL,varchar(26),YES,,,
ATC_BASE,DEP_S_PROVIDER,varchar(700),YES,,,
ATC_BASE,DEP_S_PROV_TYPE_CD,varchar(1),YES,,,
ATC_BASE,CTL_FAC_APCH_DEP_CALLS,varchar(54),YES,,,
ATC_BASE,APCH_DEP_OPER_CODE,varchar(1),YES,,,
ATC_BASE,CTL_PRVDING_HRS,varchar(200),YES,,,
ATC_BASE,SECONDARY_CTL_PRVDING_HRS,varchar(200),YES,,,
ATC_RMK,EFF_DATE,varchar(10),NO,,,
ATC_RMK,SITE_NO,varchar(9),YES,,,
ATC_RMK,SITE_TYPE_CODE,varchar(1),YES,,,
ATC_RMK,FACILITY_TYPE,varchar(12),NO,,,
ATC_RMK,STATE_CODE,varchar(2),YES,,,
ATC_RMK,FACILITY_ID,varchar(4),NO,,,
ATC_RMK,CITY,varchar(40),NO,,,
ATC_RMK,COUNTRY_CODE,varchar(2),NO,,,
ATC_RMK,LEGACY_ELEMENT_NUMBER,varchar(30),NO,,,
ATC_RMK,TAB_NAME,varchar(30),NO,,,
ATC_RMK,REF_COL_NAME,varchar(30),NO,,,
ATC_RMK,REMARK_NO,int(3),NO,,,
ATC_RMK,REMARK,varchar(1500),NO,,,
ATC_SVC,EFF_DATE,varchar(10),NO,,,
ATC_SVC,SITE_NO,varchar(9),YES,,,
ATC_SVC,SITE_TYPE_CODE,varchar(1),YES,,,
ATC_SVC,FACILITY_TYPE,varchar(12),NO,,,
ATC_SVC,STATE_CODE,varchar(2),YES,,,
ATC_SVC,FACILITY_ID,varchar(4),NO,,,
ATC_SVC,CITY,varchar(40),NO,,,
ATC_SVC,COUNTRY_CODE,varchar(2),NO,,,
ATC_SVC,CTL_SVC,varchar(200),NO,,,
AWY_ALT,EFF_DATE,varchar(10),NO,,,
AWY_ALT,REGULATORY,varchar(1),NO,,,
AWY_ALT,AWY_LOCATION,varchar(1),NO,,,
AWY_ALT,AWY_ID,varchar(12),NO,,,
AWY_ALT,POINT_SEQ,int(3),NO,,,
AWY_ALT,MEA_PT,varchar(30),NO,,,
AWY_ALT,MEA_PT_TYPE,varchar(25),YES,,,
AWY_ALT,NAV_NAME,varchar(30),YES,,,
AWY_ALT,NAV_CITY,varchar(40),YES,,,
AWY_ALT,ICAO_REGION_CODE,varchar(2),YES,,,
AWY_ALT,STATE_CODE,varchar(2),YES,,,
AWY_ALT,COUNTRY_CODE,varchar(2),YES,,,
AWY_ALT,NEXT_MEA_PT,varchar(30),NO,,,
AWY_ALT,MIN_ENROUTE_ALT,int(5),YES,,,
AWY_ALT,MIN_ENROUTE_ALT_DIR,varchar(3),YES,,,
AWY_ALT,MIN_ENROUTE_ALT_OPPOSITE,int(5),YES,,,
AWY_ALT,MIN_ENROUTE_ALT_OPPOSITE_DIR,varchar(3),YES,,,
AWY_ALT,GPS_MIN_ENROUTE_ALT,int(5),YES,,,
AWY_ALT,GPS_MIN_ENROUTE_ALT_DIR,varchar(3),YES,,,
AWY_ALT,GPS_MIN_ENROUTE_ALT_OPPOSITE,int(5),YES,,,
AWY_ALT,GPS_MEA_OPPOSITE_DIR,varchar(3),YES,,,
AWY_ALT,DD_IRU_MEA,int(5),YES,,,
AWY_ALT,DD_IRU_MEA_DIR,varchar(3),YES,,,
AWY_ALT,DD_I_MEA_OPPOSITE,int(5),YES,,,
AWY_ALT,DD_I_MEA_OPPOSITE_DIR,varchar(3),YES,,,
AWY_ALT,MIN_OBSTN_CLNC_ALT,int(5),YES,,,
AWY_ALT,MIN_CROSS_ALT,int(5),YES,,,
AWY_ALT,MIN_CROSS_ALT_DIR,varchar(3),YES,,,
AWY_ALT,MIN_CROSS_ALT_NAV_PT,varchar(30),YES,,,
AWY_ALT,MIN_CROSS_ALT_OPPOSITE,int(5),YES,,,
AWY_ALT,MIN_CROSS_ALT_OPPOSITE_DIR,varchar(3),YES,,,
AWY_ALT,MIN_RECEP_ALT,int(5),YES,,,
AWY_ALT,MAX_AUTH_ALT,int(5),YES,,,
AWY_ALT,MEA_GAP,varchar(1),YES,,,
AWY_ALT,REMARK,varchar(1500),YES,,,
AWY_BASE,EFF_DATE,varchar(10),NO,,,
AWY_BASE,REGULATORY,varchar(1),NO,,,
AWY_BASE,AWY_DESIGNATION,varchar(2),NO,,,
AWY_BASE,AWY_LOCATION,varchar(1),NO,,,
AWY_BASE,AWY_ID,varchar(12),NO,,,
AWY_BASE,UPDATE_DATE,varchar(10),NO,,,
AWY_BASE,REMARK,varchar(1500),YES,,,
AWY_BASE,AIRWAY_STRING,varchar(500),NO,,,
AWY_SEG,EFF_DATE,varchar(10),NO,,,
AWY_SEG,REGULATORY,varchar(1),NO,,,
AWY_SEG,AWY_LOCATION,varchar(1),NO,,,
AWY_SEG,AWY_ID,varchar(12),NO,,,
AWY_SEG,POINT_SEQ,int(3),NO,,,
AWY_SEG,SEG_VALUE,varchar(30),NO,,,
AWY_SEG,SEG_TYPE,varchar(25),YES,,,
AWY_SEG,NAV_NAME,varchar(30),YES,,,
AWY_SEG,NAV_CITY,varchar(40),YES,,,
AWY_SEG,ICAO_REGION_CODE,varchar(2),YES,,,
AWY_SEG,STATE_CODE,varchar(2),YES,,,
AWY_SEG,COUNTRY_CODE,varchar(2),YES,,,
AWY_SEG,NEXT_SEG,varchar(30),YES,,,
AWY_SEG,MAG_COURSE,decimal(5,2),YES,,,
AWY_SEG,OPP_MAG_COURSE,decimal(5,2),YES,,,
AWY_SEG,MAG_COURSE_DIST,decimal(5,2),YES,,,
AWY_SEG,CHGOVR_PT,varchar(4),YES,,,
AWY_SEG,CHGOVR_PT_NAME,varchar(30),YES,,,
AWY_SEG,CHGOVR_PT_DIST,int(3),YES,,,
AWY_SEG,AWY_SEG_GAP_FLG,varchar(1),NO,,,
AWY_SEG,SIGNAL_GAP_FLAG,varchar(1),NO,,,
AWY_SEG,DOGLEG,varchar(1),NO,,,
AWY_SEG,REMARK,varchar(1500),YES,,,
CDR,RCODE,varchar(8),NO,,,
CDR,ORIG,varchar(4),NO,,,
CDR,DEST,varchar(4),NO,,,
CDR,DEPFIX,varchar(6),NO,,,
CDR,ROUTE STRING,varchar(200),NO,,,
CDR,DCNTR,varchar(3),NO,,,
CDR,ACNTR,varchar(3),NO,,,
CDR,TCNTRS,varchar(100),NO,,,
CDR,COORDREQ,varchar(1),NO,,,
CDR,PLAY,varchar(25),YES,,,
CDR,NAVEQP,int(1),NO,,,
CDR,LENGTH,int(5),NO,,,
CLS_ARSP,EFF_DATE,varchar(10),NO,,,
CLS_ARSP,SITE_NO,varchar(9),NO,,,
CLS_ARSP,SITE_TYPE_CODE,varchar(1),NO,,,
CLS_ARSP,STATE_CODE,varchar(2),YES,,,
CLS_ARSP,ARPT_ID,varchar(4),NO,,,
CLS_ARSP,CITY,varchar(40),NO,,,
CLS_ARSP,COUNTRY_CODE,varchar(2),NO,,,
CLS_ARSP,CLASS_B_AIRSPACE,varchar(1),YES,,,
